# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
いそさき,Isosaki
いそざき,Isozaki
いそじま,Isozima
いそた,Isota
いそだ,Isoda
いそたに,Isotani
いその,Isono
いそはた,Isohata
いそべ,Isobe
いそまつ,Isomatu
いそむら,Isomura
いそもと,Isomoto
いそや,Isoya
いそやま,Isoyama
いそわ,Isowa
いた,Ita
いだ,Ida
いたい,Itai
いだか,Idaka
いたがき,Itagaki
いたがわ,Itagawa
いたくら,Itakura
いたさか,Itasaka
いたしき,Itasiki
いたたに,Itatani
いただに,Itadani
いたづ,Itazu
いたに,Itani
いだに,Idani
いたの,Itano
いたはし,Itahasi
いたばし,Itabasi
いたみ,Itami
いたむら,Itamura
いたもち,Itamoti
いたもと,Itamoto
いたや,Itaya
いたやま,Itayama
いたん,Itan
いちい,Itii
いちおか,Itioka
いちかわ,Itikawa
いちき,Itiki
いちぎ,Itigi
いちくら,Itikura
いちげ,Itige
いちさわ,Itisawa
いちじま,Itizima
いちじょう,Itizyô
いちせ,Itise
いちた,Itita
いちだ,Itida
いちたに,Ititani
いぢち,Iziti
いちづか,Itizuka
いちつぼ,Ititubo
いちなり,Itinari
いちの,Itino
いちのえ,Itinoe
いちのせ,Itinose
いちのせき,Itinoseki
いちのへ,Itinohe
いちのみや,Itinomiya
いちば,Itiba
いちはし,Itihasi
いちばし,Itibasi
いちはら,Itihara
いちまつ,Itimatu
いちまる,Itimaru
いちみや,Itimiya
いちむら,Itimura
いちもり,Itimori
いちやぎ,Itiyagi
いちやなぎ,Itiyanagi
いちやま,Itiyama
いちょう,Ityô
いちりゅう,Itiryû
いづ,Izu
いづい,Izui
いづか,Izuka
いつかいち,Itukaiti
いっき,Ikki
いつき,Ituki
いっこ,Ikko
いっし,Issi
いっしき,Issiki
いつしま,Itusima
いっせ,Isse
いつつ,Itutu
いづつ,Izutu
いっと,Itto
いづの,Izuno
いつぼ,Itubo
いつみ,Itumi
いづみ,Izumi
いづも,Izumo
いて,Ite
いで,Ide
いでい,Idei
いでうえ,Ideue
いでうら,Ideura
いでくち,Idekuti
いでぐち,Ideguti
いでた,Ideta
いでの,Ideno
いではら,Idehara
いでみず,Idemizu
いでむら,Idemura
いでもり,Idemori
いと,Ito
いど,Ido
いとい,Itoi
いとう,Itô
いどう,Idô
いとおか,Itooka
いとが,Itoga
いとかず,Itokazu
いとかわ,Itokawa
いどがわ,Idogawa
いとさか,Itosaka
いとざわ,Itozawa
いとしま,Itosima
いとせ,Itose
いとだ,Itoda
いとなが,Itonaga
いとはら,Itohara
いどもと,Idomoto
いとや,Itoya
いとやま,Itoyama
いな,Ina
